HandRight X=0.06  Y=0.16  Z=1038.79  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1038.75  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1038.71  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1038.68  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1038.65  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1038.64  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1038.62  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1038.62  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1038.61  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1038.62  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1038.62  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1038.63  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1038.65  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1038.67  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1038.70  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1038.73  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1038.77  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1038.81  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1038.84  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1038.88  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1038.92  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1039.18  | convert 0.6 0.7 
HandRight X=0.06  Y=0.17  Z=1039.60  | convert 0.6 0.7 
HandRight X=0.06  Y=0.17  Z=1040.02  | convert 0.6 0.7 
HandRight X=0.06  Y=0.18  Z=1040.15  | convert 0.6 0.7 
HandRight X=0.06  Y=0.18  Z=1040.13  | convert 0.6 0.7 
HandRight X=0.06  Y=0.19  Z=1040.10  | convert 0.6 0.7 
HandRight X=0.06  Y=0.19  Z=1040.08  | convert 0.6 0.7 
HandRight X=0.06  Y=0.19  Z=1040.04  | convert 0.6 0.7 
HandRight X=0.06  Y=0.19  Z=1040.00  | convert 0.6 0.7 
HandRight X=0.06  Y=0.19  Z=1039.94  | convert 0.6 0.7 
HandRight X=0.06  Y=0.19  Z=1039.88  | convert 0.6 0.7 
HandRight X=0.06  Y=0.20  Z=1039.81  | convert 0.6 0.7 
HandRight X=0.06  Y=0.20  Z=1039.75  | convert 0.6 0.7 
